Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
踏む,踩、踏,道を注意して踏むようにしましょう。,请注意踩好道路。,<ruby>道<rt>みち</rt></ruby>を<ruby>注意<rt>ちゅうい</rt></ruby>して<ruby>踏む<rt>ふむ</rt></ruby>ようにしましょう,<ol><li>道（みち）：道路、路面。</li><li>〜を：表示动作对象的助词。</li><li>注意して：动词「注意する」的て形，表示方式、手段。</li><li>踏む（ふむ）：踩、踏，表示用脚压在物体表面上。</li><li>ようにしましょう：表达劝告或建议，“请尽量……”。「ように」用于表示目的、期望等，「しましょう」为「する」的意向形。</li></ol>,[sound:jlpt_vocabulary_in_sentence_踏む.mp3]
～区,区，行政区划,私は中央区に住んでいます。,我住在中央区。,<ruby>私<rt>わたし</rt></ruby>は<ruby>中央区<rt>ちゅうおうく</rt></ruby>に<ruby>住んで<rt>すんで</rt></ruby><ruby>います<rt>います</rt></ruby>。,<ol><li>私（わたし）：我。指说话人自己。</li><li>は：助词，提示主语。</li><li>中央区（ちゅうおうく）：“中央区”，日本城市中一种行政区划。“～区（く）”在日本大城市指市下行政区，例如东京有涩谷区、新宿区等。</li><li>に：助词，表示动作的目的地、存在地点。</li><li>住んでいます（すんでいます）：“住んでいる”的礼貌形，表示现在正在居住。</li><li>句型：～に住んでいます，表示住在……地方。</li><li>日本的大都市通常分为“区（く）”作为行政单元，常在住所、邮寄地址中出现。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～区.mp3]
すっと,一下子，顺利,彼の言葉で気持ちがすっと軽くなった。,因为他的话，心情一下子变轻松了。,<ruby>彼<rt>かれ</rt></ruby>の<ruby>言葉<rt>ことば</rt></ruby>で<ruby>気持ち<rt>きもち</rt></ruby>がすっと<ruby>軽く<rt>かるく</rt></ruby><ruby>なった<rt>なった</rt></ruby>。,<ol><li>彼（かれ）：他，用于男性第三人称。</li><li>言葉（ことば）：话语、语言。</li><li>で：表示原因或手段，这里表示“因为”他的语言。</li><li>気持ち（きもち）：心情、情绪。</li><li>が：主格助词，标记主语。</li><li>すっと：副词，表示动作迅速、轻快或心理上豁然开朗的样子。</li><li>軽く（かるく）：“轻い”（かるい）的副词形式，意思是轻松地、轻快地。</li><li>なった：成为、变成的意思，是自动词“なる”的过去式。</li><li>句法：全句“彼の言葉で気持ちがすっと軽くなった”结构为“因……而……”，表达心理状态因某事迅速发生积极变化。</li></ol>,[sound:jlpt_vocabulary_in_sentence_すっと.mp3]
盗む,偷窃,彼はお金を盗みました。,他偷了钱。,<ruby>彼は<rt>かれは</rt></ruby><ruby>お金<rt>おかね</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>盗みました<rt>ぬすみました</rt></ruby>。,<ol><li>彼（かれ）：第三人称单数代词，指“他”。</li><li>お金（おかね）：名词，钱，前缀“お”表示礼貌。</li><li>を：助词，宾格标记，表示动作的对象。</li><li>盗みました（ぬすみました）：动词“盗む（ぬすむ）”的ます形过去式，表示已经偷窃。</li><li>句子结构：主语+宾语+动词，符合日语基本语序（SOV）。</li><li>动词“盗む”用于表示非法获取、偷取财物的行为。</li></ol>,[sound:jlpt_vocabulary_in_sentence_盗む.mp3]
大抵,大致，大多,大抵の人は朝ご飯を食べます。,大多数人吃早饭。,<ruby>大抵<rt>たいてい</rt></ruby>の<ruby>人<rt>ひと</rt></ruby>は<ruby>朝ご飯<rt>あさごはん</rt></ruby>を<ruby>食べます<rt>たべます</rt></ruby>。,"<ol><li>「大抵（たいてい）」意思是""大致、通常、大多数""，用于表示绝大部分情况。</li><li>「〜の人は」表示限定的群体，这里指“大部分人”。</li><li>「朝ご飯を食べます」是“吃早饭”的意思。一般日本人早上重视早餐，早餐通常以米饭、味噌汤等为主。</li></ol>",[sound:jlpt_vocabulary_in_sentence_大抵.mp3]
とうとう,终于,とうとう映画が始まりました。,电影终于开始了。,<ruby>とうとう<rt>とうとう</rt></ruby><ruby>映画<rt>えいが</rt></ruby>が<ruby>始まりました<rt>はじまりました</rt></ruby>。,<ol><li>とうとう：副词，表示经过长时间后，最终某件事实现了，有“终于”、“到头来”的意思，常见于正负两种结局。</li><li>映画（えいが）：名词，意思是“电影”。</li><li>始まりました（はじまりました）：动词“始まる”的敬体过去式，表示“已经开始了”。敬体用于普通礼貌表达。</li></ol>,[sound:jlpt_vocabulary_in_sentence_とうとう.mp3]
ガソリン,汽油,車にガソリンを入れます。,给汽车加汽油。,<ruby>車<rt>くるま</rt></ruby>にガソリンを<ruby>入れます<rt>いれます</rt></ruby>。,<ol><li>車（くるま）：名词，意思是“汽车”。</li><li>に：格助词，表目的地、动作的归着点。</li><li>ガソリン：外来语，指“汽油”。</li><li>を：宾格助词，标示动作作用的对象。</li><li>入れます（いれます）：动词“入れる”的敬体，意为“放入、加进”。</li><li>语序为“对象+に+物品+を+动词”，常用来表达向某物加进某物的动作。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ガソリン.mp3]
鳴る,响，鸣叫,電話が鳴ると急いで出ました。,电话响了，我赶紧接了。,<ruby>電話<rt>でんわ</rt></ruby>が<ruby>鳴る<rt>なる</rt></ruby>と<ruby>急いで<rt>いそいで</rt></ruby><ruby>出ました<rt>でました</rt></ruby>。,<ol><li>電話（でんわ）：电话。</li><li>が：表示主语的助词。</li><li>鳴る（なる）：自动词，表示发出声响，用于钟、电话、动物等非人类的鸣叫/响声。</li><li>と：用于前后两动作的连接，这里表示“只要电话响就……”的顺接。</li><li>急いで（いそいで）：表示动作迅速进行，动词“急ぐ”的て形，用于连接下一个动作。</li><li>出ました（でました）：动词“出る”（出去、接听等）的过去敬体形，这里指“接听（电话）”。</li><li>语法点：“～と”后接表示结果的句子，表示一旦前面动作发生，后句动作就随之发生。</li><li>文化注：日本在接电话时会尽快接听，表现礼貌和重视。</li></ol>,[sound:jlpt_vocabulary_in_sentence_鳴る.mp3]
しっかり,牢固，扎实,彼は仕事をしっかりやります。,他工作很认真扎实。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>仕事<rt>しごと</rt></ruby>をしっかり<ruby>やります<rt>やります</rt></ruby>。,<ol><li>彼（かれ）：指他，第三人称男性。</li><li>仕事（しごと）：工作、事务。</li><li>を：助词，表示动作涉及的对象。</li><li>しっかり：副词，意思是牢牢地、扎实地、认真地（本句中表示对待工作的态度认真负责）。</li><li>やります：动词“やる”的礼貌形，意思是做、干。</li><li>句型“名词をしっかりやります”：表示做某事认真扎实、有责任心。</li></ol>,[sound:jlpt_vocabulary_in_sentence_しっかり.mp3]
生きる,生活、活着,強く生きることが大切です。,坚强地活着很重要。,<ruby>強く<rt>つよく</rt></ruby><ruby>生きる<rt>いきる</rt></ruby><ruby>こと<rt>こと</rt></ruby><ruby>が<rt>が</rt></ruby><ruby>大切です<rt>たいせつです</rt></ruby>。,<ol><li>強く（つよく）：副词，表示“坚强地、有力地”。</li><li>生きる（いきる）：动词，意思是“生活、活着、生存”。此处是动词原形做定语补充内容。</li><li>こと：用作“事情、事物”，此处将前面的动词短语名词化。</li><li>が：主格助词，表示主语。</li><li>大切（たいせつ）です：形容动词“重要、宝贵”的敬体形式。</li><li>语法：“动词原形+ことが大切です”——表示“做某事很重要”，为表达建议、强调观点的固定句型。</li></ol>,[sound:jlpt_vocabulary_in_sentence_生きる.mp3]
苦い,苦的,この薬は少し苦いです。,这个药有点苦。,<ruby>この<rt>この</rt></ruby><ruby>薬<rt>くすり</rt></ruby>は<ruby>少し<rt>すこし</rt></ruby><ruby>苦い<rt>にがい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li>この：指示词，表示“这个”。</li><li>薬（くすり）：名词，意思是“药”。</li><li>は：助词，表示主题。</li><li>少し（すこし）：副词，表示“少量”、“有点”。</li><li>苦い（にがい）：形容词，意思是“苦的”，一般表示味道，也可形容心情等抽象感觉。</li><li>です：礼貌句尾，与形容词连用使句子更正式。</li><li>日语中形容词直接修饰主语，结构为“主语+は+形容词+です”，表示某物具有某特性。</li></ol>,[sound:jlpt_vocabulary_in_sentence_苦い.mp3]
沸く,沸腾,お湯が沸くまで待ってください。,请等到水烧开为止。,<ruby>お湯<rt>おゆ</rt></ruby>が<ruby>沸く<rt>わく</rt></ruby>まで<ruby>待って<rt>まって</rt></ruby>ください。,<ol><li>お湯（おゆ）：热水，开水，前缀「お」表尊敬或礼貌。</li><li>が：助词，表示主语。</li><li>沸く（わく）：动词，表示液体加热到沸腾状态。</li><li>まで：表示动作或状态持续到某个时间点。</li><li>待ってください：动词て形「待って」加「ください」表示“请做某事”。「待つ（まつ）」=等待。</li><li>语法补充：「まで待ってください」是常用的请对方等到某一状态为止的表达。</li></ol>,[sound:jlpt_vocabulary_in_sentence_沸く.mp3]
意見,意见,会議で意見を述べました。,我在会议上发表了意见。,<ruby>会議<rt>かいぎ</rt></ruby>で<ruby>意見<rt>いけん</rt></ruby>を<ruby>述べました<rt>のべました</rt></ruby>。,<ol><li>会議（かいぎ）：表示会议、会议场合。</li><li>で：场所助词，表示动作发生的场所。</li><li>意見（いけん）：名词，意思是意见、看法。</li><li>を：宾语助词，标明动作的对象。</li><li>述べました（のべました）：动词“述べる”（のべる）的敬体过去式，意思是陈述、表达。</li><li>语法知识：此句使用了「动词ます形」的礼貌表达方式，表示对听者的尊敬。宾语助词「を」标记“意見”为述说的内容。</li></ol>,[sound:jlpt_vocabulary_in_sentence_意見.mp3]
やはり; やっぱり,果然，还是,やはり彼が来ましたね。,果然他来了啊。,<ruby>やはり<rt>やはり</rt></ruby><ruby>彼<rt>かれ</rt></ruby>が<ruby>来ました<rt>きました</rt></ruby>ね。,<ol><li>やはり：副词，表示与预想、预期一致，含有“果然、还是”的意思，也可以用やっぱり（较口语）。</li><li>彼（かれ）：指代他人，意思是“他”。</li><li>来ました（きました）：动词来る（くる）的ます形过去式，表示“来了”。</li><li>助词が：表示主语。</li><li>语尾ね：用于确认对方的认同，相当于“啊、呢”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_やはり; やっぱり.mp3]
漫画,漫画,私は毎日漫画を読みます。,我每天都看漫画。,<ruby>私<rt>わたし</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby>漫画<rt>まんが</rt></ruby>を<ruby>読みます<rt>よみます</rt></ruby>。,<ol><li>私（わたし）：第一人称代词，意为“我”。</li><li>毎日（まいにち）：副词，指“每天”、“每日”。</li><li>漫画（まんが）：名词，意为“漫画”。</li><li>を：助词，表示动作的宾语，即“漫画”是“读”的对象。</li><li>読みます（よみます）：动词“読む（よむ）”的敬体形式，意为“读”。</li><li>日语句子常用 S（主语）＋O（宾语）＋V（动词）的顺序。本句使用了这一语法顺序：私は（主语） 漫画を（宾语） 読みます（动词）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_漫画.mp3]
ステレオ,立体声,新しいステレオを買いました。,我买了新的立体声音响。,<ruby>新しい<rt>あたらしい</rt></ruby><ruby>ステレオ<rt>すてれお</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>新しい（あたらしい）：形容词，意思是“新的”。</li><li>ステレオ（すてれお）：外来语，表示“立体声、音响设备”。</li><li>を：助词，表示动作的对象（宾语）。</li><li>買いました（かいました）：动词“買う（买）”的敬体过去式，表示“买了”。</li><li>语法：助词「を」用来连接宾语和动词，在敬体表达中，“ました”接在动词连用形后表示过去时且语气礼貌。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ステレオ.mp3]
医学,医学,彼は医学を勉強しています。,他在学习医学。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>医学<rt>いがく</rt></ruby>を<ruby>勉強しています<rt>べんきょうしています</rt></ruby>。,<ol><li>彼（かれ）：他，指男性。</li><li>医学（いがく）：医学，是指研究疾病、健康、治疗等相关知识的学科。</li><li>を：宾格助词，连接动作对象（这里指学习医学）。</li><li>勉強しています：动词“勉強する”的ている形，表示正在进行某动作，此处指正在学习。</li><li>语法点：“～しています”表达动作正在进行，强调某人当前正处于某种活动或状态中。</li></ol>,[sound:jlpt_vocabulary_in_sentence_医学.mp3]
テキスト,文本,このテキストを読んでください。,请阅读这个文本。,<ruby>この<rt>この</rt></ruby><ruby>テキスト<rt>てきすと</rt></ruby><ruby>を<rt>を</rt></ruby><ruby>読んで<rt>よんで</rt></ruby><ruby>ください<rt>ください</rt></ruby>。,<ol><li>この：连体词，表示“这个”。用于靠近说话人、已知或者前面提及的事物。</li><li>テキスト：外来语，意为“文本”，“课本”或“材料”。在学习场合多指教科书。</li><li>を：助词，提示动作的对象，放在宾语后面。</li><li>読んでください：「読んで」为动词“読む”（读）的て形，后接“ください”（请），表达请求或命令，意为“请读”。</li><li>句子结构是“名词+を+动词て形+ください”，常用于请对方做某事。</li></ol>,[sound:jlpt_vocabulary_in_sentence_テキスト.mp3]
～月,几月,誕生日は何月ですか。,你的生日是几月？,<ruby>誕生日<rt>たんじょうび</rt></ruby>は<ruby>何月<rt>なんがつ</rt></ruby>ですか。,<ol><li>誕生日（たんじょうび）：表示“生日”。</li><li>は：助词，表示主题。</li><li>何月（なんがつ）：疑问词，“几月”，用于询问月份。「～月」用来表示几月份。前面填入阿拉伯数字（一月 １月 いちがつ）。</li><li>です：礼貌句尾。</li><li>か：疑问句结尾，表示提问。</li><li>本句型用于询问月份，非常常见。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～月.mp3]
折る,折断，弄弯,彼は枝を簡単に折った。,他轻松地折断了树枝。,<ruby>彼は<rt>かれは</rt></ruby><ruby>枝を<rt>えだを</rt></ruby><ruby>簡単に<rt>かんたんに</rt></ruby><ruby>折った<rt>おった</rt></ruby>。,<ol><li>彼（かれ）：指“他”，用于第三人称男性。</li><li>枝（えだ）：意为“树枝”。</li><li>簡単に（かんたんに）：副词，表示“轻松地”或“简单地”。</li><li>折った（おった）：动词“折る”的过去式，表示把某物折断。</li><li>语法：日语句子常采用主语—宾语—谓语的顺序。动词“折る”为他动词，必须带宾语。助词「を」用于连接宾语和动词。</li></ol>,[sound:jlpt_vocabulary_in_sentence_折る.mp3]
～会,会，能,私はピアノを弾くことができます。,我会弹钢琴。,<ruby>私<rt>わたし</rt></ruby>はピアノを<ruby>弾く<rt>ひく</rt></ruby>ことができます。,<ol><li>ピアノ：钢琴（外来语）。</li><li>弾く（ひく）：弹奏（乐器）。</li><li>ことができます：表示“能够、会”，是“动词简体形+ことができます”结构，表达能力或可能性。例：泳ぐことができます（会游泳）。</li><li>は：助词，提示主题。</li><li>を：助词，表示动作对象。</li><li>文化补充：日本学生常以钢琴等兴趣特长自我介绍，表述方式常用“～ことができます”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_～会.mp3]
うかがう,拜访，请教,先生の家にうかがいました。,我拜访了老师的家。,<ruby>先生<rt>せんせい</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>に<ruby>うかがいました<rt>うかがいました</rt></ruby>。,<ol><li>先生（せんせい）：老师，称呼他人的教师或长辈。</li><li>家（いえ）：家，房子。</li><li>に：表示动作的方向或到达的地点，译为“到、去”。</li><li>うかがいました：「うかがう」是“访问、请教”的自谦语，用于表达对他人的尊敬，常在与上司、老师交往时使用。本句是ます形的过去式，表明动作已完成。</li><li>语法：表示自谦时，使用「うかがう」来代替「行く（いく 去）」或「聞く（きく 听、问）」，体现对对方的尊敬。</li></ol>,[sound:jlpt_vocabulary_in_sentence_うかがう.mp3]
聞こえる,能听见,外から音楽が聞こえる。,从外面能听到音乐。,<ruby>外<rt>そと</rt></ruby>から<ruby>音楽<rt>おんがく</rt></ruby>が<ruby>聞こえる<rt>きこえる</rt></ruby>。,<ol><li>外（そと）：指外面、外部。</li><li>から：表示起点、来源。「从……」</li><li>音楽（おんがく）：音乐。</li><li>が：表示主语。</li><li>聞こえる（きこえる）：自他动词，表示「能听见」某种声音，多指非主观意愿下自然听到。</li><li>语法：『名词＋が＋聞こえる』表达「能听见～」的意思，常用于描述偶然或自然传来的声音。</li></ol>,[sound:jlpt_vocabulary_in_sentence_聞こえる.mp3]
僕,我（男）,僕は毎日学校に行きます。,我每天去学校。,<ruby>僕<rt>ぼく</rt></ruby><ruby>は<rt>は</rt></ruby><ruby>毎日<rt>まいにち</rt></ruby><ruby>学校<rt>がっこう</rt></ruby><ruby>に<rt>に</rt></ruby><ruby>行きます<rt>いきます</rt></ruby>。,<ol><li>僕（ぼく）：第一人称代词，男性常用，表达“我”。</li><li>は：主题助词，表示句子的主语。</li><li>毎日（まいにち）：副词，意思是“每天”。</li><li>学校（がっこう）：名词，“学校”。</li><li>に：表示方向或目的地的助词。</li><li>行きます（いきます）：动词“行く”的敬体现在时，意思是“去”。</li><li>本句为基本主谓宾结构：主语+时间+目的地+动作。</li><li>男性自称多用“僕”，表示谦逊、亲切或随和。</li></ol>,[sound:jlpt_vocabulary_in_sentence_僕.mp3]
必ず,一定，务必,明日は必ず来てください。,明天请务必来。,<ruby>明日<rt>あした</rt></ruby>は<ruby>必ず<rt>かならず</rt></ruby><ruby>来て<rt>きて</rt></ruby>ください。,<ol><li>明日（あした）：名词，意为“明天”。</li><li>は：主题助词，标明主语（“明日”）。</li><li>必ず（かならず）：副词，意为“一定、务必”，表示强烈的确定性或叮嘱，常用于请求或命令句中。</li><li>来てください：动词“来る”的て形“来て”加上“ください”，表示请对方做某事，含有礼貌祈使的语气。</li><li>语法说明：“必ず”常位于动词前，用来加强语气。日语中在请求、劝告时，加上“ください”构成礼貌表达。</li></ol>,[sound:jlpt_vocabulary_in_sentence_必ず.mp3]
壊す,破坏，弄坏,子供が大事なおもちゃを壊した。,孩子把重要的玩具弄坏了。,<ruby>子供<rt>こども</rt></ruby>が<ruby>大事な<rt>だいじな</rt></ruby>おもちゃを<ruby>壊した<rt>こわした</rt></ruby>。,<ol><li>子供（こども）：孩子。</li><li>が：主格助词，表示主语。</li><li>大事（だいじ）：重要。『な』作为连体词接续修饰名词。</li><li>おもちゃ：玩具。</li><li>を：宾格助词，标记动作的对象。</li><li>壊す（こわす）：动词，意思为“弄坏”或“破坏”，此处是过去式「壊した」（弄坏了）。</li><li>日语常用『〜を壊す』表示把某物弄坏。</li></ol>,[sound:jlpt_vocabulary_in_sentence_壊す.mp3]
怒る,生气,先生は昨日怒りました。,老师昨天生气了。,<ruby>先生<rt>せんせい</rt></ruby>は<ruby>昨日<rt>きのう</rt></ruby><ruby>怒りました<rt>おこりました</rt></ruby>。,<ol><li>先生（せんせい）：老师。</li><li>は：主题助词，表示主语。</li><li>昨日（きのう）：昨天。</li><li>怒りました（おこりました）：动词「怒る」（生气）的过去式，表示过去发生的事情。动词连用形加ました表达礼貌。</li><li>日语中，过去式常用于描述已经发生的事件。「怒る」常用于描述情绪变化或突发的不快情感。</li></ol>,[sound:jlpt_vocabulary_in_sentence_怒る.mp3]
床屋,理发店,私は近くの床屋に行きます。,我去附近的理发店。,<ruby>私<rt>わたし</rt></ruby>は<ruby>近く<rt>ちかく</rt></ruby>の<ruby>床屋<rt>とこや</rt></ruby>に<ruby>行きます<rt>いきます</rt></ruby>。,<ol><li>私（わたし）：第一人称，表示“我”。</li><li>近く（ちかく）：名词，意思是“附近、近处”。后接の，作定语修饰后面的名词。</li><li>床屋（とこや）：名词，意思是“理发店”，指理发师经营的店铺。</li><li>に：助词，表示动作的目的地或方向。</li><li>行きます（いきます）：动词“行く（いく）”的敬体形式，意思是“去”。</li><li>日语中去某地时常用“〜に行きます”的固定句型。</li></ol>,[sound:jlpt_vocabulary_in_sentence_床屋.mp3]
オートバイ,摩托车,彼は新しいオートバイを買いました。,他买了新的摩托车。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>新しい<rt>あたらしい</rt></ruby>オートバイを<ruby>買いました<rt>かいました</rt></ruby>。,<ol><li>彼（かれ）：他、第三人称男性代词。</li><li>新しい（あたらしい）：形容词，表示“新的”。</li><li>オートバイ：外来语，指“摩托车”。源自英文 motorcycle，日语音译。</li><li>を：助词，标记宾语。</li><li>買いました（かいました）：动词買う（买）的ます形过去式，表示“买了”，是敬体。</li><li>「新しいオートバイを買いました」整体结构为“〜を買いました（买了〜）”，常见表达动作完成。</li></ol>,[sound:jlpt_vocabulary_in_sentence_オートバイ.mp3]
